,snapshot_year,renewable_lower,demand_scenario,reduction,nuclear_option,ll_wildcard,h2_demand,onwind,energy_selfconsumption,uuid,discount_rate
2050_eRisk+2035/national_103.0red_SMR_nuclear_dr0.0265_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,SMR,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0SMRv1.75h2+1.50.0265onwind+p0.3,0.0265
2050_eRisk+2035/national_103.0red_SMR_nuclear_dr0.038_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,eRisk+2035,national,103,SMR,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0SMRv1.75h2+1.50.038onwind+p0.3,0.038
2040_eRisk+2035/european_103.0red_centralized_medium_nuclear_llv1.6_h2+2.25_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,european,103,centralized_medium,v1.6,h2+2.25,onwind+p0.3,,2040eRisk+2035european103.0centralized_mediumv1.6h2+2.25onwind+p0.3,0.0225
2040_eRisk+2035/european_103.0red_disabled_nuclear_llv1.6_h2+2.25_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,european,103,disabled,v1.6,h2+2.25,onwind+p0.3,,2040eRisk+2035european103.0disabledv1.6h2+2.25onwind+p0.3,0.0225
2040_eRisk+2035/european_103.0red_SMR_nuclear_llv1.6_h2+2.25_Co2L-1H-CCL-onwind+p0.3,2040,eRisk+2035,european,103,SMR,v1.6,h2+2.25,onwind+p0.3,,2040eRisk+2035european103.0SMRv1.6h2+2.25onwind+p0.3,0.0225
2040_eRisk+2035/national_100.0red_centralized_medium_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2040,eRisk+2035,national,100,centralized_medium,v1.5,h2+1.33,onwind+p0.3,EQ0.7c,2040eRisk+2035national100.0centralized_mediumv1.5h2+1.33onwind+p0.3EQ0.7c,0.0225
2040_eRisk+2035/national_100.0red_disabled_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2040,eRisk+2035,national,100,disabled,v1.5,h2+1.33,onwind+p0.3,EQ0.7c,2040eRisk+2035national100.0disabledv1.5h2+1.33onwind+p0.3EQ0.7c,0.0225
2040_eRisk+2035/national_100.0red_SMR_nuclear_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3-EQ0.7c,2040,eRisk+2035,national,100,SMR,v1.5,h2+1.33,onwind+p0.3,EQ0.7c,2040eRisk+2035national100.0SMRv1.5h2+1.33onwind+p0.3EQ0.7c,0.0225
2040_eRisk+2035/regional_100.0red_centralized_medium_nuclear_llv1.4_h2+1.0_Co2L-1H-CCL-onwind+p0.4-EQ0.5,2040,eRisk+2035,regional,100,centralized_medium,v1.4,h2+1.0,onwind+p0.4,EQ0.5,2040eRisk+2035regional100.0centralized_mediumv1.4h2+1.0onwind+p0.4EQ0.5,0.0225
2040_eRisk+2035/regional_100.0red_disabled_nuclear_llv1.4_h2+1.0_Co2L-1H-CCL-onwind+p0.4-EQ0.5,2040,eRisk+2035,regional,100,disabled,v1.4,h2+1.0,onwind+p0.4,EQ0.5,2040eRisk+2035regional100.0disabledv1.4h2+1.0onwind+p0.4EQ0.5,0.0225
2040_eRisk+2035/regional_100.0red_SMR_nuclear_llv1.4_h2+1.0_Co2L-1H-CCL-onwind+p0.4-EQ0.5,2040,eRisk+2035,regional,100,SMR,v1.4,h2+1.0,onwind+p0.4,EQ0.5,2040eRisk+2035regional100.0SMRv1.4h2+1.0onwind+p0.4EQ0.5,0.0225
