technology,year,parameter,value,unit,source
HVDC submarine,2040,investment,1300.0,EUR/MW/km,Table 1: https://www.researchgate.net/publication/291554198_Optioneering_analysis_for_connecting_Dogger_Bank_offshore_wind_farms_to_the_GB_electricity_network
HVDC submarine,2040,lifetime,40.0,years,Hagspiel
HVDC submarine,2040,FOM,2.0,%/year,Hagspiel
HVAC overhead,2050,investment,400.0,EUR/MW/km,Hagspiel
HVAC overhead,2050,lifetime,40.0,years,Hagspiel
HVAC overhead,2050,FOM,2.0,%/year,Hagspiel
HVDC inverter pair,2050,investment,150000.0,EUR/MW,Hagspiel
HVDC inverter pair,2050,lifetime,40.0,years,Hagspiel
HVDC inverter pair,2050,FOM,2.0,%/year,Hagspiel
HVDC overhead,2050,investment,400.0,EUR/MW/km,Hagspiel
HVDC overhead,2050,lifetime,40.0,years,Hagspiel
HVDC overhead,2050,FOM,2.0,%/year,Hagspiel
HVDC submarine,2050,investment,1300.0,EUR/MW/km,Table 1: https://www.researchgate.net/publication/291554198_Optioneering_analysis_for_connecting_Dogger_Bank_offshore_wind_farms_to_the_GB_electricity_network
HVDC submarine,2050,lifetime,40.0,years,Hagspiel
HVDC submarine,2050,FOM,2.0,%/year,Hagspiel
hydro,2040,lifetime,80.0,years,IEA2020-2
hydro,2040,investment,2437.0,EUR/kWel,IEA2020-2
hydro,2040,FOM,2.2,%/year,IEA2010
hydro,2050,lifetime,80.0,years,IEA2020-2
hydro,2050,investment,2437.0,EUR/kWel,IEA2020-2
hydro,2050,FOM,2.2,%/year,IEA2010
hydrogen underground storage,2040,investment,0.02,EUR/kWh,NREL 09
hydrogen underground storage,2040,lifetime,40.0,years,NREL 09
hydrogen underground storage,2050,investment,0.02,EUR/kWh,NREL 09
hydrogen underground storage,2050,lifetime,40.0,years,NREL 09
lignite,2040,lifetime,40.0,years,IEA2020-2
lignite,2040,investment,1700.0,EUR/kWel,Frauenhofer
lignite,2040,FOM,3.4,%/year,IEA CCC
lignite,2040,VOM,1.0,EUR/MWhel,IEA CCC
lignite,2040,fuel,2.9,EUR/MWhth,
lignite,2040,efficiency,0.42,per unit,Fra
lignite,2040,CO2 intensity,0.35,tCO2/MWth,RVO
lignite,2050,lifetime,40.0,years,IEA2020-2
lignite,2050,investment,1700.0,EUR/kWel,Frauenhofer
lignite,2050,FOM,3.4,%/year,IEA CCC
lignite,2050,VOM,1.0,EUR/MWhel,IEA CCC
lignite,2050,fuel,2.9,EUR/MWhth,
lignite,2050,efficiency,0.42,per unit,Fra
lignite,2050,CO2 intensity,0.35,tCO2/MWth,RVO
nuclear_nextgen,2040,lifetime,60.0,years,IEA2020-2
nuclear_nextgen,2040,investment,8365.0,EUR/kWel,IEA2020 & IEA2021
nuclear_nextgen,2040,FOM,1.0759115361625822,%/year,eRisk overleg target inclusief decommisioning = 100
nuclear_nextgen,2040,VOM,4.0,EUR/MWhel,eRisk overleg target marginale kosten = 12 / MWh
nuclear_nextgen,2040,fuel,2.62,EUR/MWhth,eRisk overleg target marginale kosten = 12 / MWh
nuclear_nextgen,2040,efficiency,0.33,per unit,IEA2020-3
nuclear_nextgen,2050,lifetime,60.0,years,IEA2020-2
nuclear_nextgen,2050,investment,8365.0,EUR/kWel,IEA2020 & IEA2021
nuclear_nextgen,2050,FOM,1.0759115361625822,%/year,eRisk overleg target inclusief decommisioning = 100
nuclear_nextgen,2050,VOM,4.0,EUR/MWhel,eRisk overleg target marginale kosten = 12 / MWh
nuclear_nextgen,2050,fuel,2.62,EUR/MWhth,eRisk overleg target marginale kosten = 12 / MWh
nuclear_nextgen,2050,efficiency,0.33,per unit,IEA2020-3
nuclear,2040,lifetime,60.0,years,IEA2020-2
nuclear,2040,investment,4000.0,EUR/kWel,"Locked, only used for determining the FOM"
nuclear,2040,FOM,2.25,%/year,eRisk overleg target inclusief decommisioning = 100
nuclear,2040,VOM,4.0,EUR/MWhel,eRisk overleg target marginale kosten = 12 / MWh
nuclear,2040,fuel,2.62,EUR/MWhth,eRisk overleg target marginale kosten = 12 / MWh
nuclear,2040,efficiency,0.33,per unit,IEA2020-3
nuclear,2050,lifetime,60.0,years,IEA2020-2
nuclear,2050,investment,4000.0,EUR/kWel,"Locked, only used for determining the FOM"
nuclear,2050,FOM,2.25,%/year,eRisk overleg target inclusief decommisioning = 100
nuclear,2050,VOM,4.0,EUR/MWhel,eRisk overleg target marginale kosten = 12 / MWh
nuclear,2050,fuel,2.62,EUR/MWhth,eRisk overleg target marginale kosten = 12 / MWh
nuclear,2050,efficiency,0.33,per unit,IEA2020-3
OCGT,2040,lifetime,30.0,years,IEA2020-2
OCGT,2040,investment,460.0,EUR/kWel,IEA2020 & IEA2021
OCGT,2040,FOM,1.3,%/year,EPA2021
OCGT,2040,VOM,3.93,EUR/MWhel,EPA2021
OCGT,2040,efficiency,0.42,per unit,DEA2020 - 2
OCGT,2050,lifetime,30.0,years,IEA2020-2
OCGT,2050,investment,460.0,EUR/kWel,IEA2020 & IEA2021
OCGT,2050,FOM,1.3,%/year,EPA2021
OCGT,2050,VOM,3.93,EUR/MWhel,EPA2021
OCGT,2050,efficiency,0.44,per unit,DEA 2022 - 2
offwind,2040,lifetime,30.0,years,WitteveenBos 2019
offwind,2040,investment,1596.0,EUR/kWel,IEA2020 & IEA2021
offwind,2040,FOM,3.3,%/year,EPA2021
offwind,2040,VOM,0.0,EUR/MWhel,EPA2021
offwind,2050,lifetime,30.0,years,WitteveenBos 2019
offwind,2050,investment,1351.0,EUR/kWel,IEA2020 & IEA2021
offwind,2050,FOM,3.5,%/year,EPA2021
offwind,2050,VOM,0.0,EUR/MWhel,EPA2021
offwind-ac-connection-submarine,2040,investment,2685.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-ac-connection-underground,2040,investment,1342.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-ac-station,2040,investment,250.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-dc-connection-submarine,2040,investment,1300.0,EUR/MW/km,Table 1: https://www.researchgate.net/publication/291554198_Optioneering_analysis_for_connecting_Dogger_Bank_offshore_wind_farms_to_the_GB_electricity_network
offwind-dc-connection-underground,2040,investment,1000.0,EUR/MW/km,Haertel 2017; average + 13% learning reduction
offwind-dc-station,2040,investment,400.0,EUR/kWel,Haertel 2017; assuming one onshore and one offshore node + 13% learning reduction
offwind-ac-connection-submarine,2050,investment,2685.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-ac-connection-underground,2050,investment,1342.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-ac-station,2050,investment,250.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data
offwind-dc-connection-submarine,2050,investment,1300.0,EUR/MW/km,Table 1: https://www.researchgate.net/publication/291554198_Optioneering_analysis_for_connecting_Dogger_Bank_offshore_wind_farms_to_the_GB_electricity_network
offwind-dc-connection-underground,2050,investment,1000.0,EUR/MW/km,Haertel 2017; average + 13% learning reduction
offwind-dc-station,2050,investment,400.0,EUR/kWel,Haertel 2017; assuming one onshore and one offshore node + 13% learning reduction
oil,2030,lifetime,30.0,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348
oil,2030,investment,400.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
oil,2030,FOM,1.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
oil,2030,VOM,3.0,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348
oil,2030,fuel,50.0,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf
oil,2030,efficiency,0.39,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 CT
oil,2030,CO2 intensity,0.25,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php
onwind,2040,lifetime,30.0,years,WitteveenBos 2019
onwind,2040,investment,1211.0,EUR/kWel,IEA2020 & IEA2021
onwind,2040,FOM,2.7,%/year,EPA2021
onwind,2040,VOM,0.0,EUR/MWhel,EPA2021
onwind,2050,lifetime,30.0,years,WitteveenBos 2019
onwind,2050,investment,1175.0,EUR/kWel,IEA2020 & IEA2021
onwind,2050,FOM,2.5,%/year,EPA2021
onwind,2050,VOM,0.0,EUR/MWhel,EPA2021
PHS,2040,lifetime,80.0,years,IEA2010
PHS,2040,investment,2000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,2040,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,2040,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,2050,lifetime,80.0,years,IEA2010
PHS,2050,investment,2000.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,2050,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348
PHS,2050,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348
ror,2040,lifetime,80.0,years,IEA2020-2
ror,2040,investment,2654.0,EUR/kWel,IEA2020-2
ror,2040,FOM,2.2,%/year,IEA2010
ror,2050,lifetime,80.0,years,IEA2020-2
ror,2050,investment,2654.0,EUR/kWel,IEA2020-2
ror,2050,FOM,2.2,%/year,IEA2010
solar,2040,lifetime,25.0,years,iea2020-2
solar,2040,investment,404.0,EUR/kWel,iea2020 & iea 2021
solar,2040,FOM,2.0,%/year,EPA2021
solar,2050,lifetime,25.0,years,iea2020-2
solar,2050,investment,333.0,EUR/kWel,iea2020 & iea 2021
solar,2050,FOM,2.0,%/year,EPA2021
solar-rooftop,2030,discount rate,0.04,per unit,standard for decentral
solar-rooftop,2040,lifetime,25.0,years,iea2020-2
solar-rooftop,2040,investment,436.0,EUR/kWel,iea2020 & iea 2021
solar-rooftop,2040,FOM,2.0,%/year,EPA2021
solar-rooftop,2050,lifetime,25.0,years,iea2020-2
solar-rooftop,2050,investment,360.0,EUR/kWel,iea2020 & iea 2021
solar-rooftop,2050,FOM,2.2,%/year,EPA2021
solar-utility,2040,lifetime,25.0,years,iea2020-2
solar-utility,2040,investment,404.0,EUR/kWel,iea2020 & iea 2021
solar-utility,2040,FOM,2.0,%/year,EPA2021
solar-utility,2050,lifetime,25.0,years,iea2020-2
solar-utility,2050,investment,333.0,EUR/kWel,iea2020 & iea 2021
solar-utility,2050,FOM,2.0,%/year,EPA2021
uranium,2030,fuel,3.0,EUR/MWhth,DIW DataDoc http://hdl.handle.net/10419/80348
SMR,2040,lifetime,60.0,years,IEA2020-2
SMR,2040,investment,3947.0,EUR/kWel,IEA2020 & IEA2021
SMR,2040,FOM,6.0,%/year,Ruut
SMR,2040,VOM,2.07,EUR/MWhel,EPA2021
SMR,2040,fuel,8.18,EUR/MWhth,IEA2020-2
SMR,2040,efficiency,0.33,per unit,IEA2020-3
SMR,2050,lifetime,60.0,years,IEA2020-2
SMR,2050,investment,3947.0,EUR/kWel,IEA2020 & IEA2021
SMR,2050,FOM,6.0,%/year,Ruut
SMR,2050,VOM,2.07,EUR/MWhel,EPA2021
SMR,2050,fuel,8.18,EUR/MWhth,IEA2020-2
SMR,2050,efficiency,0.33,per unit,IEA2020-3
waste,2040,lifetime,40.0,years,IEA2020-2
waste,2040,investment,2758.0,EUR/kWel,IEA2020 en IEA 2021
waste,2040,FOM,6.3,%/year,EPA2021
waste,2040,VOM,2.0,EUR/MWhel,EPA2021
waste,2040,fuel,54.0,EUR/MWhth,IEA Biomass
waste,2040,efficiency,0.32,per unit,Fraunhofer
waste,2040,CO2 intensity,0.16,tCO2/MWth,RVO + DEA 2022 - 2
waste,2050,lifetime,40.0,years,IEA2020-2
waste,2050,investment,2758.0,EUR/kWel,IEA2020 en IEA 2021
waste,2050,FOM,6.3,%/year,EPA2021
waste,2050,VOM,2.0,EUR/MWhel,EPA2021
waste,2050,fuel,60.0,EUR/MWhth,IEA Biomass
waste,2050,efficiency,0.32,per unit,Fraunhofer
waste,2050,CO2 intensity,0.16,tCO2/MWth,RVO + DEA 2022 - 2
